Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
106,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",7972,9291,14488,15569,3709,3949,6031,7323,2372,2696,3525,3525,1247,1274,1508,1508,20.4,95
106,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",8230,9824,14525,16222,3474,4158,7148,7626,2051,2396,3869,3869,1314,1408,1740,1740,34.8,70
106,"Mining Engineering (4 Years, Bachelor of Technology)",7456,9931,16493,17779,2873,4030,6930,7430,1789,2383,3121,3435,898,1219,1628,1628,28.8,63
106,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2533,10050,13581,15290,3968,4513,7752,7752,2023,2741,3432,3432,1311,1331,1597,1597,24.7,98
106,"Physics (4 Years, Bachelor of Science)",6768,10364,14248,17455,3997,5170,8672,8684,2173,3123,2900,2900,1503,1633,227,227,31.1,83
106,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",1538,10432,16202,16602,4050,4292,6794,6956,2163,2661,3055,3055,1083,1389,1796,1796,32.1,96
106,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",8642,10753,16685,17794,4103,4698,7329,7744,2067,2771,3721,3721,1382,1406,1735,1735,23.3,78
106,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",10187,11786,17995,19426,4569,4978,8577,8577,2931,3032,4186,4186,1188,1722,2010,2010,22.9,89
106,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",10486,11873,16326,18872,4618,5149,8357,8410,2645,2955,3529,3529,1278,1449,381,381,30,63
106,"Exploration Geophysics (4 Years, Bachelor of Science)",9583,12549,19562,19859,4363,5558,8920,8920,2844,3422,4400,4400,1595,1622,733,733,25.8,78
106,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11787,12912,19283,20278,4811,5321,8401,8401,2847,2974,4135,4135,1430,1430,720,720,20.4,95
106,"Chemistry (4 Years, Bachelor of Science)",9959,13571,16648,18525,3769,5635,7622,7622,2730,3225,3991,3991,1365,1481,483,483,25.3,86
106,"Applied Geology (4 Years, Bachelor of Science)",10526,14362,18666,20744,4990,5804,7420,7420,2957,3381,4122,4122,1521,1642,696,696,34.1,63
106,"Architecture (5 Years, Bachelor of Architecture)",14234,23569,18068,24858,6938,9021,7515,7515,2905,3903,4353,4353,1777,420,995,995,33.5,79
107,"Computer Science and Engineering (4 Years, Bachelor of Technology)",394,690,652,1316,178,272,614,666,126,165,311,337,23,73,133,133,29.4,60
107,"Artificial Intelligence (4 Years, Bachelor of Technology)",718,1046,1745,1965,289,487,841,918,292,336,699,699,197,211,256,256,20.8,60
107,"Mathematics and Computing (4 Years, Bachelor of Technology)",1254,1406,2222,2222,703,801,1179,1179,572,619,850,850,446,446,463,463,24.2,92
107,"Computational Engineering (4 Years, Bachelor of Technology)",1334,1908,4867,4890,846,993,1344,1344,546,756,1304,1304,449,450,1040,1040,23.3,62
107,"Electrical Engineering (4 Years, Bachelor of Technology)",1421,2488,3264,4079,885,1371,1718,1975,948,1044,1045,1371,422,495,897,897,30.2,77
107,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",2146,2654,3973,4871,870,1463,1906,1906,779,1094,1398,1398,450,618,968,968,21.4,65
107,"Engineering Science (4 Years, Bachelor of Technology)",2061,4163,5597,6208,1249,2068,2161,3459,935,1593,2024,2024,568,917,1465,1465,30,80
107,"Mechanical Engineering (4 Years, Bachelor of Technology)",2628,5156,7874,9629,1414,2534,3098,4356,1235,1574,2128,2216,491,720,1580,1580,26.5,69
107,"Engineering Physics (4 Years, Bachelor of Technology)",3364,5633,7865,8417,2440,3019,4851,5576,1238,1956,3035,3035,1195,1228,1515,1515,23.8,81
107,"Chemical Engineering (4 Years, Bachelor of Technology)",5065,7411,7031,11965,2738,3264,4266,4269,1863,1963,2600,2600,850,996,1198,1198,28.7,71
107,"Civil Engineering (4 Years, Bachelor of Technology)",6961,9583,10948,14391,3417,3764,4843,5187,1660,2194,2699,2728,708,892,1298,1298,24.5,90
107,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",8212,9901,13989,15123,3451,3966,5528,6295,1948,2362,2610,2610,1121,1151,1153,1153,21.5,61
