Institute_Code,Program,Total_Pool,OPEN_Gender_Neutral,OPEN_Female_Only,OBC_NCL_Gender_Neutral,OBC_NCL_Female_Only,SC_Gender_Neutral,SC_Female_Only,ST_Gender_Neutral,ST_Female_Only
108,"Computer Science and Engineering (4 Years, Bachelor of Technology)",68,25,5,16,4,9,3,5,1
108,"Electrical Engineering (4 Years, Bachelor of Technology)",65,22,6,16,4,9,2,5,1
108,"Materials Engineering (4 Years, Bachelor of Technology)",42,15,4,10,2,5,2,3,1
108,"Mechanical Engineering (4 Years, Bachelor of Technology)",69,26,6,16,4,8,3,5,1
108,"Physics with Specialization (4 Years, Bachelor of Science)",27,11,3,6,1,3,1,2,0
109,"Aerospace Engineering (4 Years, Bachelor of Technology)",59,21,6,14,4,7,2,4,1
109,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",45,17,4,11,3,5,2,2,1
109,"Chemical Engineering (4 Years, Bachelor of Technology)",90,33,8,21,5,12,3,6,2
109,"Chemistry (4 Years, Bachelor of Science)",42,14,3,11,2,6,2,3,1
109,"Civil Engineering (4 Years, Bachelor of Technology)",127,45,12,30,8,18,4,8,2
109,"Computer Science and Engineering (4 Years, Bachelor of Technology)",110,40,9,27,6,14,4,8,2
109,"Earth Sciences (4 Years, Bachelor of Science)",37,13,4,10,2,4,1,2,1
109,"Economics (4 Years, Bachelor of Science)",44,16,4,10,3,5,2,3,1
109,"Electrical Engineering (4 Years, Bachelor of Technology)",164,60,14,39,10,22,6,10,3
109,"Materials Science and Engineering (4 Years, Bachelor of Technology)",73,27,6,17,5,9,3,5,1
109,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",55,19,5,13,3,8,2,4,1
109,"Mechanical Engineering (4 Years, Bachelor of Technology)",127,46,11,31,7,17,5,8,2
109,"Physics (4 Years, Bachelor of Science)",38,13,4,10,2,4,1,3,1
109,"Statistics and Data Science (4 Years, Bachelor of Science)",24,8,2,6,2,3,1,2,0
110,"Aerospace Engineering (4 Years, Bachelor of Technology)",55,19,5,13,4,7,2,4,1
